,Unnamed: 0,True Label,Predicted_average,Predicted_supervised,actual heading
0,0,methods,methods,methods,place and duration
1,1,results,results,results,main outcome
2,2,objective,objective,objective,objective and methods
3,3,conclusions,conclusions,conclusions,mini-abstract
4,4,methods,results,results,outcomes of interest
5,5,conclusions,conclusions,conclusions,implications for case management practice
6,6,conclusions,conclusions,conclusions,interpretations and conclusions
7,7,methods,methods,methods,data analysis
8,8,conclusions,conclusions,conclusions,interpretation and conclusions
9,9,methods,methods,methods,predictor & outcome
10,10,methods,methods,methods,data acquisition
11,11,methods,methods,methods,reference test & measurements
12,12,conclusions,conclusions,conclusions,linking evidence to action
13,13,methods,methods,methods,setting(s)
14,14,background,background,background,historical overview
15,15,conclusions,conclusions,conclusions,outlook
16,16,methods,methods,methods,instruments
17,17,methods,methods,methods,outcome & measurements
18,18,conclusions,conclusions,conclusions,implications and conclusions
19,19,methods,methods,methods,instrumentation
20,20,methods,methods,methods,data sources/data collection
21,21,methods,background,background,probands
22,22,results,results,results,mechanisms of action
23,23,methods,methods,methods,design and data sources
24,24,objective,objective,objective,objects and methods
25,25,background,background,background,motivations
26,26,objective,background,background,summary introduction
27,27,methods,methods,methods,equipment and methods
28,28,conclusions,conclusions,conclusions,conclusions & inferences
29,29,objective,objective,objective,aim and methodology
30,30,background,background,background,electronic supplementary material
31,31,methods,results,results,development
32,32,methods,results,results,toxicokinetics
33,33,results,conclusions,conclusions,viewpoints
34,34,objective,objective,objective,primary study objective
35,35,methods,methods,methods,research design/methods
36,36,objective,objective,objective,evaluation aims
37,37,methods,methods,methods,material and treatment
38,38,methods,methods,methods,data extraction
39,39,methods,methods,methods,clinical cases
40,40,results,background,background,histopathology
41,41,methods,methods,methods,"design, settings, participants, & measurements"
42,42,conclusions,conclusions,conclusions,perspectives and conclusion
43,43,methods,methods,methods,method and material
44,44,methods,methods,methods,description of the system
45,45,conclusions,conclusions,conclusions,conclusions/implications for practice
46,46,methods,methods,methods,study design and method
47,47,results,results,results,key findings
48,48,methods,results,results,methods and main outcomes
49,49,methods,methods,methods,animals and interventions
50,50,objective,objective,objective,objective and importance
51,51,methods,methods,methods,"design, participants, and methods"
52,52,conclusions,conclusions,conclusions,summary statement
53,53,conclusions,conclusions,conclusions,advances in knowledge and implications for patient care
54,54,methods,methods,methods,level of evidence iii
55,55,objective,objective,objective,"background, aims & methods"
56,56,conclusions,conclusions,conclusions,principal conclusions
57,57,conclusions,conclusions,conclusions,conclusions/lessons learned
58,58,objective,objective,objective,objections
59,59,methods,methods,methods,evidence acquisition and synthesis
60,60,methods,methods,methods,methodological quality
61,61,methods,methods,methods,materials/patients and methods
62,62,results,results,results,methodology/findings
63,63,methods,methods,methods,data collection/analysis
64,64,objective,background,background,fundamentals
65,65,objective,methods,methods,introduction and design
66,66,results,results,results,outcomes and results
67,67,objective,conclusions,conclusions,introduction and potentials of classical radiotherapy
68,68,conclusions,conclusions,conclusions,conclusion and recommendation
69,69,objective,objective,objective,purpose
70,70,methods,methods,methods,postoperative management
71,71,background,background,background,ethnopharmacological significance
72,72,methods,methods,methods,technical note
73,73,results,results,results,methods and findings
74,74,methods,methods,methods,"design, settings, and patients"
75,75,methods,methods,methods,study subjects and methods
76,76,results,results,results,major findings
77,77,conclusions,conclusions,conclusions,conclusions / implications for practice
78,78,methods,methods,methods,primary outcome
79,79,methods,methods,methods,main outcome measure(s)
80,80,methods,methods,methods,"model, perspective, & timeframe"
81,81,methods,methods,methods,methods of study selection
82,82,results,results,results,methodology and principal findings
