PMCID,PMID,sec-title,sec-norm
PMC10023157,36862748,"['Introduction', 'Results', 'Discussion', 'Materials and methods', 'Funding Information', 'Additional information', 'Additional files', 'Data availability']","['background', 'results', 'conclusions', 'methods', nan, nan, nan, nan]"
PMC10033410,36754086,"['Main', 'RNA bridges the Vif–A3G interaction', 'Evolution of the Vif–A3G interface', 'Vif-mediated ubiquitination of A3G', 'Conclusions and implications', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan]"
PMC10033443,36928817,"['Main', 'Results', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, 'results', 'conclusions', 'methods', nan, 'background', nan, nan]"
PMC10060156,36991187,"['Main', 'Dataset overview', 'Genetic affinities', 'Proportions of African, Persian and Indian DNA', 'Males from Persia and females from Africa', 'Mixing began by', 'Arabians and other migratory influences', 'Relating medieval to modern Swahili', 'No recent Asian ancestry in inland people', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan]"
PMC10094121,37047340,"['1. Introduction', '2. Results', '3. Discussion', '4. Materials and Methods', '5. Conclusions']","[nan, nan, nan, nan, nan]"
PMC10115640,36949202,"['Main', 'CFTR variant for smFRET retains native activity', 'NBD dimerization is insufficient for pore opening', 'The ATP-binding sites\xa0contribute asymmetrically', 'NBD dimerization precedes channel opening', 'Dimerization persists through cycles of hydrolysis', 'Disease mutations\xa0disrupt allosteric coupling', 'Potentiators promote opening of dimerized channels', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, nan, nan, nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan]"
PMC10132970,36890235,"['Main', 'Virtual process game', 'Human benchmarking', 'Computer algorithm benchmarking', 'Human first–computer last strategy', 'Interpretation', 'Outlook and conclusion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, nan, nan, nan, nan, 'conclusions', nan, 'methods', nan, 'background', nan, nan]"
PMC10154231,36997670,"['Main', 'Results', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, 'results', 'conclusions', 'methods', nan, 'background', nan, nan]"
PMC10191844,36997761,"['Main', 'Results', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, 'results', 'conclusions', 'methods', nan, 'background', nan]"
PMC10202811,37012551,"['Main', 'Results', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, 'results', 'conclusions', 'methods', nan, 'background', nan, nan]"
PMC10250197,37142767,"['Main', 'Results', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, 'results', 'conclusions', 'methods', nan, 'background', nan]"
PMC10284694,37316664,"['Main', 'Cas1–Cas2/DEDDh substrate generation', 'PAM binding and prespacer processing', 'PAM trimming after half-integration', 'CRISPR array integration reconstitution', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan, nan]"
PMC10299778,37383028,"['Introduction', 'Study Overview', 'Statistical Model', 'Results', 'Discussion', 'Conclusion', 'Supplementary Material']","['background', nan, nan, 'results', 'conclusions', 'conclusions', nan]"
PMC10322705,37258676,"['Main', 'Quantifying ESBs', 'Toward a safe and just future', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, nan, nan, 'methods', nan, 'background', nan, nan]"
PMC10338334,37438593,"['Methods', 'Reporting summary', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","['methods', nan, nan, 'background', nan, nan]"
PMC10373711,37521407,"['Introduction', 'Conclusion and perspectives']","['background', 'conclusions']"
PMC10390332,37443379,"['Main', 'Spin-exchange Auger recombination', 'QD design for spin-exchange CM', 'Synthesis and characterization of Mn-doped PbSe/CdSe QDs', 'CM measurements', 'Radiative spin-exchange Mn-to-PbSe core coupling', 'Spin-exchange CM timescale', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, nan, nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan, nan]"
PMC10396966,37468623,"['Main', 'Replication in independent cohorts', 'Unexposed T cells react to SARS-CoV-2', 'Cross-reactive NQK-specific T cells', 'NQK-specific T cells express public TCRs', 'NQK peptides share structure similarity', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan]"
PMC10403361,37546688,"['Main', 'Results', 'Discussion', 'Methods', 'Online content', 'Supplementary information']","[nan, 'results', 'conclusions', 'methods', nan, 'background']"
PMC10412447,37558848,"['Main', 'A long paired temperature–hydroclimate record', 'From energy- to moisture-limited climate', 'Future climate in the Horn of Africa', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, nan, nan, nan, 'methods', nan, 'background', nan]"
PMC1043859,15736975,"['Introduction', 'Results', 'Discussion', 'Materials and Methods']","['background', 'results', 'conclusions', 'methods']"
PMC1043860,15723116,"['Introduction', 'Results', 'Discussion', 'Materials and Methods', 'Supporting Information']","['background', 'results', 'conclusions', 'methods', nan]"
PMC10447246,37468634,"['Main', 'Methods', 'Online content']","[nan, 'methods', nan]"
PMC10461406,37343560,"['Introduction:', 'Genome-wide CRISPRi screening in human and chimpanzee stem cells', 'Human and chimpanzee can be distinguished by genetic dependencies', 'Molecular nature of core species-specific genetic dependencies', 'Human-specific sensitivity to perturbations to lysosomal V-ATPase', 'Human PSCs are robust to depletion of CDK2 and Cyclin E', 'Cell cycle perturbations alter neural progenitor cell expansion', 'Evolutionary origin of molecular species-differences', 'Discussion', 'Limitations of the Study:', 'STAR METHODS', 'Supplementary Material']","[nan, nan, nan, nan, nan, nan, nan, nan, 'conclusions', nan, nan, nan]"
PMC10462211,37645892,"['INTRODUCTION', 'METHODS', 'RESULTS', 'DISCUSSION', 'Supplementary Material']","['background', 'methods', 'results', 'conclusions', nan]"
PMC10464477,37605198,"['Background', 'Methods', 'Results', 'Discussion', 'Conclusion', 'Supplementary Information']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'background']"
PMC10473106,37424476,"['INTRODUCTION', 'MATERIALS AND METHODS', 'RESULTS', 'DISCUSSION', 'Supplementary Material', 'FUNDING', 'CONFLICT OF INTEREST', 'DATA AVAILABILITY']","['background', 'methods', 'results', 'conclusions', nan, 'background', 'background', nan]"
PMC10482685,37604875,"['Main', 'Results and discussion', 'Methods', 'Supplementary information', 'Extended data']","[nan, 'conclusions', 'methods', 'background', nan]"
PMC10499610,37130545,"['Main', 'Formulations and algorithms', 'In silico results and analysis', 'Results for COVID-19 mRNA vaccines', 'Results for VZV mRNA vaccines', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan, nan]"
PMC10511328,37704722,"['Main', 'Pooled longitudinal analyses', 'Population intervention effects', 'Age-varying effects on growth faltering', 'Consequences of early growth faltering', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Extended data']","[nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan]"
PMC10516440,37744571,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Conclusion', 'Data availability statement', 'Ethics statement', 'Author contributions', 'Conflict of interest', 'Publisher’s note', 'Supplementary material']","['background', 'methods', 'results', 'conclusions', 'conclusions', nan, nan, nan, 'background', nan, nan]"
PMC10516583,37745748,"['Introduction and background', 'Review', 'Conclusions']","['background', 'methods', 'conclusions']"
PMC10522650,37752139,"['Introduction', 'Results', 'Discussion', 'Methods', 'Supplementary information']","['background', 'results', 'conclusions', 'methods', 'background']"
PMC10533395,37758889,"['Main', 'Methods', 'Online content', 'Extended data']","[nan, 'methods', nan, nan]"
PMC1054881,15737063,"['Introduction', 'Results', 'Discussion', 'Materials and Methods', 'Supporting Information']","['background', 'results', 'conclusions', 'methods', nan]"
PMC1054884,15737066,"['Introduction', 'Results', 'Discussion', 'Materials and Methods']","['background', 'results', 'conclusions', 'methods']"
PMC1054887,15737067,"['Introduction', 'Results', 'Discussion', 'Materials and Methods', 'Supporting Information']","['background', 'results', 'conclusions', 'methods', nan]"
PMC10567574,37758951,"['Main', 'The TOFU-1–TOFU-2 complex is a potential nuclease', 'SLFL-3 or SLFL-4 binds to TOFU-1–TOFU-2', 'PUCH is a trimeric piRNA precursor nuclease', 'PUCH acts cap and sequence specifically', 'PUCH cleaves PETISCO-bound precursors', 'PUCH–PETISCO interaction', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, nan, nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan, nan]"
PMC10569767,37343196,"['INTRODUCTION', 'METHODS', 'RESULTS', 'DISCUSSION', 'DATA SHARING STATEMENT', 'AUTHOR CONTRIBUTIONS', ""AUTHORS' DISCLOSURES OF POTENTIAL CONFLICTS OF INTEREST""]","['background', 'methods', 'results', 'conclusions', nan, nan, nan]"
PMC10607557,37892576,"['1. Introduction', '2. Materials and Methods', '3. Results', '4. Discussion', '5. Conclusions']","[nan, nan, nan, nan, nan]"
PMC10615816,37915500,"['Introduction', 'Results', 'Discussion', 'Materials and methods', 'Acknowledgements', 'Author contributions', 'Data availability', 'Conflict of interest', 'Supplementary data', 'Supplementary Material']","['background', 'results', 'conclusions', 'methods', nan, nan, nan, 'background', nan, nan]"
PMC10622602,37927685,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Conclusions']","['background', 'methods', 'results', 'conclusions', 'conclusions']"
PMC10632145,37914938,"['Main', 'Population imaging and single-cell activation', 'Signal propagation map', 'Functional measurements differ from anatomy', 'Extrasynaptic signalling also drives neural dynamics', 'Extrasynaptic-dependent signal propagation\xa0screen', 'Signal propagation predicts spontaneous activity', 'Discussion', 'Methods', 'Online content', 'Supplementary information', 'Source data', 'Extended data']","[nan, nan, nan, nan, nan, nan, nan, 'conclusions', 'methods', nan, 'background', nan, nan]"
PMC1064139,15743506,"['Introduction', 'Methods', 'Results', 'Discussion', 'Conclusions', 'Abbreviations', 'Competing interests', ""Authors'contributions"", 'Figures and Tables']","['background', 'methods', 'results', 'conclusions', 'conclusions', 'background', nan, nan, nan]"
PMC10645396,38021830,"['Introduction', 'Materials and methods', 'Results', 'Discussion', 'Conclusions']","['background', 'methods', 'results', 'conclusions', 'conclusions']"
